,ID,DataType,ORIGINAL_TraitID,ORIGINAL_TraitDefinition,TraitValue,TraitUnit,N_TraitValue,ConTaxa,ResTaxa,ConTaxaStage,ResTaxaStage,Con_ForagingMovement,Con_RESDetectionDimensionality,Res_ForagingMovement,Res_CONDetectionDimensionality,CON_MASS_value,RES_MASS_value,ResArenaSize_SI_UNIT,ResDensity_SI_VALUE,ResDensityUnit,ResDensity,ResArenaSize_SI_VALUE,ConTemp,ResTemp,ResReplaceRate,ResReplaceUnit,ResReplace,TraitSIValue,TraitSIUnit,N_TraitID,N_TraitConversion,N_CONVERTED,N_TraitUnit,Original_ErrorValue,Original_ErrorValueUnit,Replicates,ConTaxon,ConStage,ConCommon,Con_MovementDimensionality,Con_Thermy,Res_MovementDimensionality,ResTaxon,ResStage,ResCommon,Res_Thermy,Habitat,LabField,ObservationtimeSI,ObservationtimeSIUnits,ConStarvationTimeSI,ConStarvationTimeSIUnits,ConArenaSiz_VALUE,ConArenaSize_UNIT,ConDensity,ConDensityUnit,ConDensity_SI_VALUE,ConDensityConst,ConSizType,CON_ORIGINAL_value,CON_ORIGINAL_unit,Con_Siz_reference,ResSizType,RES_ORIGINAL_value,RES_ORIGINAL_unit,Res_Siz_reference,Citation,FigureTable,a0,h0,a0_gen,h0_gen,q0_gen,HollingI_AIC,HollingII_AIC,HollingIII_AIC,Poly2_AIC,Poly3_AIC,N,FailHolI,FailHolII,FailHolIII,FailPol2,FailPol3,aI,aII,hII,aIII,hIII,qIII
0,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8.67993,Individual/(Individual*120 mins),0.001205546,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,3333333.333,Individuals per arena,10.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
1,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,7.667269999999999,Individual/(Individual*120 mins),0.001064899,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,3333333.333,Individuals per arena,10.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
2,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8.67993,Individual/(Individual*120 mins),0.001205546,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,3333333.333,Individuals per arena,10.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
3,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,18.4448,Individual/(Individual*120 mins),0.002561778,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,8333333.333,Individuals per arena,25.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
4,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,17.3599,Individual/(Individual*120 mins),0.002411097,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,8333333.333,Individuals per arena,25.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
5,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,14.4665,Individual/(Individual*120 mins),0.002009236,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,8333333.333,Individuals per arena,25.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
6,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,11.4286,Individual/(Individual*120 mins),0.0015873060000000001,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,8333333.333,Individuals per arena,25.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
7,39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,31.1754,Individual/(Individual*120 mins),0.004329917,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.4099999999999999e-08,7.69e-06,cubic meter,16666666.67,Individuals per arena,50.0,3e-06,20.0,20.0,,,No,,,,,,,,,1.0,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200.0,seconds,259200.0,seconds,3e-06,cubic meter,1.0,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6e-11,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1,,,,,,,,,,,,,,,,,,,,,,
8,39836,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,2.8338799999999997,Individual/(Individual*90 mins),0.0005247930000000001,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.,Rhyacophila dorsalis (Curtis 1834) [instar 5],Chironomus spp. [larva],active,surface,active,surface,2.42e-05,2.4e-07,square meter ,249.15375,Individuals per arena,19.9323,0.08,11.4,11.4,0.0005247930000000001,individuals / second,Yes,,,,,,,0.40621,95%CI,10.0,Rhyacophila dorsalis (Curtis),Fifth Instar,Caddis larva,2D,ectotherm,2D,Chironomus sp.,Juvenile,Chironomid larva,ectotherm,Freshwater,Enclosure,5400.0,seconds,259200.0,seconds,0.08,square meter ,1.0,Individuals per arena,#VALUE!,Yes,length,15.9,millimeter,Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.,length,6.5,millimeter,original,[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.,Fig 1a,,,,,,,,,,,,,,,,,,,,,,
9,39836,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5.1302900000000005,Individual/(Individual*90 mins),0.000950054,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.,Rhyacophila dorsalis (Curtis 1834) [instar 5],Chironomus spp. [larva],active,surface,active,surface,2.42e-05,2.4e-07,square meter ,502.17125,Individuals per arena,40.1737,0.08,11.4,11.4,0.000950054,individuals / second,Yes,,,,,,,0.66378,95%CI,10.0,Rhyacophila dorsalis (Curtis),Fifth Instar,Caddis larva,2D,ectotherm,2D,Chironomus sp.,Juvenile,Chironomid larva,ectotherm,Freshwater,Enclosure,5400.0,seconds,259200.0,seconds,0.08,square meter ,1.0,Individuals per arena,#VALUE!,Yes,length,15.9,millimeter,Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.,length,6.5,millimeter,original,[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.,Fig 1a,,,,,,,,,,,,,,,,,,,,,,
