"","V1","V2","V3","V4","V5"
"1",39835,3,-100.71673107138,3,-100.398964904661
"2",39836,1,-195.128782868223,1,-194.221027589241
"3",39837,1,-171.174772415863,1,-170.267017136881
"4",39838,1,-203.459533559537,1,-202.551778280555
"5",39839,4,-194.139299947653,4,-192.626374482682
"6",39840,1,-12.3871896214012,1,-7.63663280603287
"7",39841,1,-33.6114302613046,1,-28.4707140611917
"8",39842,3,-0.0557007596057559,3,6.04974133885889
"9",39843,1,-25.2298286764194,1,-21.2332151458938
"10",39844,1,-25.4279158725174,1,-20.2149070176673
"11",39845,1,-14.4449927072174,1,-10.9108312161735
"12",39846,3,-11.4937749255651,1,-7.04865816929774
"13",39847,4,-32.4441979730312,1,-27.8919463898148
"14",39848,1,-10.4581204321165,1,-6.8014929575119
"15",39849,3,-14.1858818384856,3,-10.0077920875919
"16",39850,4,-29.2946271008978,4,-24.5724322050656
"17",39851,4,-113.689828672724,4,-115.642639110553
"18",39852,4,-125.634938738937,4,-127.587749176767
"19",39853,4,-107.510986564249,4,-109.463797002079
"20",39854,1,-111.638916935232,1,-112.810603197929
"21",39855,3,-118.49819614061,3,-120.060444490874
"22",39856,4,-116.969258825041,4,-118.922069262871
"23",39857,4,-115.235627042755,4,-117.188437480584
"24",39858,1,-99.7760883280723,1,-100.94777459077
"25",39859,3,-127.762429219919,3,-129.324677570183
"26",39860,4,-122.211093645501,4,-124.16390408333
"27",39861,4,-109.855746706071,4,-111.8085571439
"28",39862,4,-117.801426176805,4,-119.754236614634
"29",39863,2,-78.3084421081557,2,-79.8706904584193
"30",39864,4,-84.8649485531938,4,-86.8177589910233
"31",39865,4,-86.1416969798478,4,-88.0945074176773
"32",39866,1,-73.1220945610877,3,-74.3934912845236
"33",39867,4,-101.285901720934,4,-103.238712158764
"34",39868,3,-84.2872539011432,3,-85.120216024231
"35",39869,1,-72.5769448091042,4,-73.2872338744935
"36",39870,3,-84.117946869627,3,-84.9509089927147
"37",39871,4,-73.4146046689943,4,-74.4558073228541
"38",39873,3,-94.7894866390939,3,-95.6224487621817
"39",39874,1,-86.3058757322378,1,-86.9305973245536
"40",39875,1,-73.5745342624586,4,-74.5681184753758
"41",39876,1,-68.2542378564176,1,-68.8789594487335
"42",39877,4,-73.7763694402564,4,-74.8175720941161
"43",39878,1,-101.217587553599,1,-101.842309145915
"44",39879,1,-95.9356418107931,1,-96.560363403109
"45",39880,1,-79.9809651145893,1,-80.6056867069052
"46",39881,2,-84.4838373238729,2,-85.3167994469607
"47",39882,1,-80.2787008060529,1,-80.9034223983687
"48",39883,4,-880.278870969078,4,-870.718755941937
"49",39884,4,-123.928477756645,4,-125.881288194474
"50",39885,1,-107.345447236824,4,-108.091591217871
"51",39886,4,-120.672542666575,4,-122.625353104404
"52",39887,1,-96.5067393467903,1,-97.678425609488
"53",39888,1,-63.1500816924973,1,-64.9911986091376
"54",39889,2,-67.1006892154188,2,-69.5555117709392
"55",39890,3,-92.3112048069109,3,-93.1441669299986
"56",39891,4,-91.3697750873797,4,-92.4109777412394
"57",39892,4,-284.668498697459,4,-279.946303801627
"58",39893,3,-284.930128060856,3,-281.368641029271
"59",39894,1,-111.196443699041,1,-111.358713251875
"60",39895,4,-119.572482369473,1,-119.321396391668
"61",39896,3,-120.07613671274,3,-119.758370546021
"62",39897,1,-121.880051944546,1,-121.641727319506
"63",39898,3,-142.048161062696,3,-141.730394895976
"64",39899,3,-128.760538612602,3,-128.442772445883
"65",39900,2,-132.571729121887,2,-132.253962955168
"66",39901,3,-121.980073717289,3,-121.66230755057
"67",39902,2,-114.888805999953,2,-114.571039833234
"68",39903,1,-110.773957473165,1,-110.535632848125
"69",39904,2,-128.683956815331,2,-128.366190648612
"70",39905,1,-120.461438822398,1,-120.223114197359
"71",39906,1,-130.222756637103,1,-129.984432012063
"72",39907,4,-185.813129947064,4,-180.357917680273
"73",39908,1,-155.261166492862,1,-155.022841867822
"74",39909,1,-145.548842177864,1,-145.310517552824
"75",39910,4,763.882082239875,3,770.884909061617
"76",39911,3,776.867019037184,3,783.817697510318
"77",39912,4,-125.961448916952,4,-125.564241208553
"78",39913,3,-94.4820577773414,3,-96.9368803328618
"79",39914,3,47.7374664437837,3,49.3290475349772
"80",39915,1,-78.1965567357077,1,-76.7418367863437
"81",39916,2,-42.2689294835234,2,-42.4852888873022
"82",39917,4,-82.3943005849536,4,-84.3471110227831
"83",39918,3,-83.9744060452292,3,-83.1855077358843
"84",39919,1,-78.0430868106331,4,-79.8801735436814
"85",39920,4,-68.4629795894225,4,-70.415790027252
"86",39921,3,-63.6654254775771,3,-65.2276738278407
"87",39922,1,-63.2756622522962,1,-64.4473485149939
"88",39923,4,-76.9750038469449,4,-78.9278142847744
"89",39924,2,-157.7783846257,2,-158.611346748788
"90",39925,4,-58.6265495607623,1,-52.4702443731514
"91",39926,4,-118.018838774373,4,-119.971649212202
"92",39927,2,-108.571854217793,2,-110.134102568056
"93",39928,4,-105.350741468282,4,-107.303551906111
"94",39929,4,-104.625655831599,4,-106.578466269428
"95",39931,4,-117.30468333508,4,-118.34588598894
"96",39932,4,-68.9603455037634,2,-61.5447116532207
"97",39933,1,-252.638838858487,1,-250.139198826319
"98",39934,4,228.2174460709,4,232.669304860381
"99",39935,2,-144.022661962202,2,-144.23902136598
"100",39936,4,-96.2159544564801,4,-97.2571571103398
"101",39937,4,-151.538208104029,4,-153.491018541859
"102",39938,2,-166.229903002111,2,-167.792151352374
"103",39939,3,-340.542466747142,1,-336.096170551511
"104",39940,4,-1402.64595411506,4,-1390.73582094169
"105",39941,3,-80.8131748873377,3,-80.0242765779928
"106",39942,1,-122.295635899598,1,-119.022508539523
"107",39943,3,-56.9387090133689,3,-54.9990824142169
"108",39944,4,-73.807955177698,4,-67.9176860259583
"109",39945,2,-98.7083864714057,2,-100.270634821669
"110",39946,4,-101.576305924277,4,-103.529116362106
"111",39947,3,-226.408670606632,3,-224.817089515438
"112",39948,3,-13.1568390234014,3,-14.719087373665
