"","X.1","X","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable","a0","h0","a0_gen","h0_gen","q0_gen","HollingI_AIC","HollingII_AIC","HollingIII_AIC","Poly2_AIC","Poly3_AIC","N","FailHolI","FailHolII","FailHolIII","FailPol2","FailPol3","aI","aII","hII","aIII","hIII","qIII","hIIp","hIIIp","aIp","aIIp","aIIIp","qIIIp","a0_I","a0_II","h0_II","a0_III","h0_III","q0_III","qse","BestAIC","BestAICHolRECAL","BestAICHol","qcil","qciu","qIIIci","best.model.type","BestAIC_sec","BestAICRECAL","best.model.type.recal","CUTCONTEMP","CUTRESTEMP"
"1",1,0,39835,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",8.67993,"Individual/(Individual*120 mins)",0.001205546,"Cyclops bicuspidatus Claus 1857","Panagrolaimus spp.","Cyclops bicuspidatus Claus 1857 [adult]","Panagrolaimus spp. [adult]","active","sphere","active","sphere",1.41e-08,7.69e-06,"cubic meter",3333333.333,"Individuals per arena",10,3e-06,20,20,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Diacyclops bicuspidatus Claus 1857","Adult","Holarctic cyclopoid copepod","3D","ectotherm","3D","Panagrolaimus sp.","Adult","Nematode","ectotherm","Freshwater","Laboratory",7200,"seconds",259200,"seconds",3e-06,"cubic meter",1,"Individuals per arena","0","Yes","dry mass","6.23E-009","kilogram","original","dry mass",6e-11,"kilogram","original","[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.","Fig 1",NA,NA,NA,NA,NA,-101.681571239518,-100.320091210863,-98.8855716542572,-100.71673107138,NA,8,NA,NA,NA,NA,1,7.7637098e-05,9.66377059030006e-05,29.2911296826313,0.000130286782084662,0,-0.113265587996939,0.556032470397667,1,0.000174383788739548,0.000959665662034226,0.472707148603126,0.853232235981472,7.7637098e-05,0.190432541195303,0.197897546881341,0.595609995103688,0.67098009099579,0.926673243785713,0.581504645664482,"HollingI_AIC","HollingI_AIC","HollingI_AIC",-1.2762748793259,1.04974370333202,0,"Mechanistic","Poly2_AIC","HollingI_AIC","Mechanistic","(15,25]","(15,25]"
"2",9,8,39836,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.83388,"Individual/(Individual*90 mins)",0.000524793,"Rhyacophila dorsalis (Curtis 1834)","Chironomus spp.","Rhyacophila dorsalis (Curtis 1834) [instar 5]","Chironomus spp. [larva]","active","surface","active","surface",2.42e-05,2.4e-07,"square meter ",249.15375,"Individuals per arena",19.9323,0.08,11.4,11.4,0.000524793,"individuals / second","Yes",NA,NA,NA,NA,NA,NA,0.40621,"95%CI",10,"Rhyacophila dorsalis (Curtis)","Fifth Instar","Caddis larva","2D","ectotherm","2D","Chironomus sp.","Juvenile","Chironomid larva","ectotherm","Freshwater","Enclosure",5400,"seconds",259200,"seconds",0.08,"square meter ",1,"Individuals per arena","#VALUE!","Yes","length","15.9","millimeter","Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.","length",6.5,"millimeter","original","[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.","Fig 1a",NA,NA,NA,NA,NA,-146.363518253785,-195.128782868223,-194.064656000414,-180.428102584977,-191.851427200844,10,NA,NA,NA,NA,NA,1.29400248924498e-05,2.81843372095002e-05,167.043323052219,3.01394543496146e-05,160.705362341802,-0.0188625253195858,8.23911702145915e-13,2.06922312736123e-07,1.05500862919356e-07,3.36150778018909e-14,5.25655346612274e-06,0.433595440699689,1.29400248924498e-05,0.551511366433512,1.01229922484551,0.674471107775843,0.116415247629645,1.01962371725432,0.0227086826999061,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.064279890719398,0.0265548400802264,0,"Mechanistic","HollingIII_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
"3",19,18,39837,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.37931,"Individual/(Individual*90 mins)",0.000255428,"Rhyacophila dorsalis (Curtis 1834)","Chironomus spp.","Rhyacophila dorsalis (Curtis 1834) [instar 4]","Chironomus spp. [larva]","active","surface","active","surface",5.63e-06,2.4e-07,"square meter ",249.15375,"Individuals per arena",19.9323,0.08,11.4,11.4,0.000255428,"individuals / second","Yes",NA,NA,NA,NA,NA,NA,0.39409,"95%CI",10,"Rhyacophila dorsalis (Curtis)","Fourth Instar","Caddis larva","2D","ectotherm","2D","Chironomus sp.","Juvenile","Chironomid larva","ectotherm","Freshwater","Enclosure",5400,"seconds",259200,"seconds",0.08,"square meter ",1,"Individuals per arena","#VALUE!","Yes","length","10.35","millimeter","Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.","length",6.5,"millimeter","original","[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.","Fig 1b",NA,NA,NA,NA,NA,-164.508520066412,-171.174772415863,-169.521605718726,-168.961156544781,-168.367043019496,10,NA,NA,NA,NA,NA,8.77037963065964e-06,1.30113842331342e-05,165.282044958319,1.67390432707318e-05,111.380176428277,-0.0707568662994053,0.000156552818817539,0.37896529113729,2.65705782100589e-09,2.60263662127898e-08,0.0849067864157004,0.630198158743693,8.77037963065964e-06,0.476902738595978,0.023054396674038,0.670847356286237,0.711451220619073,0.702954310923815,0.140584692176535,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.351926250652475,0.210412518053665,0,"Mechanistic","HollingIII_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
"4",29,28,39838,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.7,"Individual/(Individual*90 mins)",0.00012963,"Rhyacophila dorsalis (Curtis 1834)","Chironomus spp.","Rhyacophila dorsalis (Curtis 1834) [instar 3]","Chironomus spp. [larva]","active","surface","active","surface",1.74e-06,3.23e-08,"square meter ",249.15375,"Individuals per arena",19.9323,0.08,11.4,11.4,0.00012963,"individuals / second","Yes",NA,NA,NA,NA,NA,NA,0.45,"95%CI",10,"Rhyacophila dorsalis (Curtis)","Third Instar","Caddis larva","2D","ectotherm","2D","Chironomus sp.","Juvenile","Chironomid larva","ectotherm","Freshwater","Enclosure",5400,"seconds",259200,"seconds",0.08,"square meter ",1,"Individuals per arena","#VALUE!","Yes","length","6.65","millimeter","Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.","length",3,"millimeter","original","[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.","Fig 1c",NA,NA,NA,NA,NA,-187.404287606505,-203.459533559537,-201.471536892666,-201.404303377441,-199.546383211588,10,NA,NA,NA,NA,NA,5.03829952649709e-06,6.24073603293907e-06,168.116370361984,6.13886228257548e-06,173.993077574243,0.00443702529888222,4.94412595971701e-06,0.0319679870508445,1.60689425616851e-11,3.39689565822473e-12,0.00080828953639632,0.928671665771606,5.03829952649709e-06,0.809282072089421,1.31742255953947,1.12673379483811,0.606000028774345,-0.839129530824721,0.0478188822602177,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.0912007392215532,0.100074789819318,0,"Mechanistic","HollingIII_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
"5",39,38,39839,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.66832,"Individual/(Individual*90 mins)",0.000123763,"Rhyacophila dorsalis (Curtis 1834)","Chironomus spp.","Rhyacophila dorsalis (Curtis 1834) [instar 2]","Chironomus spp. [larva]","active","surface","active","surface",4.69e-07,3.23e-08,"square meter ",249.15375,"Individuals per arena",19.9323,0.08,11.4,11.4,0.000123763,"individuals / second","Yes",NA,NA,NA,NA,NA,NA,0.306128,"95%CI",10,"Rhyacophila dorsalis (Curtis)","Second Instar","Caddis larva","2D","ectotherm","2D","Chironomus sp.","Juvenile","Chironomid larva","ectotherm","Freshwater","Enclosure",5400,"seconds",259200,"seconds",0.08,"square meter ",1,"Individuals per arena","#VALUE!","Yes","length","4.05","millimeter","Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.","length",3,"millimeter","original","[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.","Fig 1d",NA,NA,NA,NA,NA,-191.312448204425,-182.486924169133,-189.400918490006,-190.766749996257,-194.139299947653,10,NA,NA,NA,NA,NA,2.91080683120746e-06,5.13468430653088e-06,576.128495363523,1.27164292603741e-05,0,-0.2563967340062,0.000271464403682241,1,2.68409212844298e-10,6.56772049482364e-07,0.0495201413591511,0.0833122206129925,2.91080683120746e-06,1.00225243648275,1.58539918683242,0.568627040946436,0.561440592392557,0.421834303066134,0.12702223526792,"Poly3_AIC","HollingI_AIC","HollingI_AIC",-0.51044120454204,-0.00235226347035999,-0.2563967340062,"Phenomenological","HollingI_AIC","Poly3_AIC","Phenomenological","(0,15]","(0,15]"
"6",49,48,39840,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.287328,"individual / (individual * second)",0.287328,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.00065,7.01e-08,"cubic meter",250,"Individuals per arena",0.25,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","0.65","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1",NA,NA,NA,NA,NA,-13.1059289229671,-12.3871896228167,-11.5505816225002,-12.0763229797263,-10.7539452897457,36,NA,NA,NA,NA,NA,0.0998348923198733,0.57019722401353,1.28165009378012,0.320959219438699,0,-0.559045644791756,2.53359816228536e-05,1,4.9322854702978e-05,0.00707774757575382,0.406977898458098,0.390996303845873,0.0998348923198733,1.19215372726305,1.16461826313824,1.64570784485526,0.125729934507803,1.67946126312017,0.643145659354804,"HollingI_AIC","HollingI_AIC","HollingI_AIC",-1.84533696350136,0.727245673917852,0,"Mechanistic","HollingII_AIC","HollingI_AIC","Mechanistic","(0,15]","(0,15]"
"7",85,84,39841,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1679,"individual / (individual * second)",0.1679,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.0018,7.01e-08,"cubic meter",203.9,"Individuals per arena",0.2039,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","1.8","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1",NA,NA,NA,NA,NA,-11.1812515501311,-33.6114302621903,-32.4050183423123,-25.9876330085069,-32.616104246142,41,NA,NA,NA,NA,NA,0.138170350026165,1.84943751665038,0.934026911526777,2.42122779678184,1.02091141992706,0.279062240447525,3.88178915006996e-17,9.56678785057735e-12,1.06792156895932e-06,2.50881423154415e-06,0.0165337226743454,0.436188258246668,0.138170350026165,0.00151540215996004,1.62582727303059,1.64606860822052,1.83057218058395,1.99185977503657,0.354609582493255,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.430156924538985,0.988281405434035,0,"Mechanistic","Poly3_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
"8",126,125,39842,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1501,"individual / (individual * second)",0.1501,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.0059,7.01e-08,"cubic meter",250.2,"Individuals per arena",0.2453,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","5.9","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1",NA,NA,NA,NA,NA,12.6737988010106,NA,NA,-0.0557007596057559,1.83068750093461,34,NA,1,1,NA,NA,0.1225480353533,NA,NA,NA,NA,NA,NA,NA,0.000649673065012258,NA,NA,NA,0.1225480353533,NA,NA,NA,NA,NA,NA,"Poly2_AIC","HollingI_AIC","HollingI_AIC",NA,NA,NA,"Phenomenological","Poly3_AIC","Poly2_AIC","Phenomenological","(0,15]","(0,15]"
"9",160,159,39843,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.2429,"individual / (individual * second)",0.2429,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.0094,7.01e-08,"cubic meter",125,"Individuals per arena",0.1254,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","9.4","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1",NA,NA,NA,NA,NA,-6.95224538653145,-25.2298286768324,-23.8755986798225,-20.8176860886439,-20.538195438512,28,NA,NA,NA,NA,NA,0.176973639066274,1.79468792387637,0.862557775299816,2.39522140282417,0.962887769691677,0.288652296702809,1.33981134693354e-11,5.38284653860841e-08,1.48684383598794e-05,2.62276298123013e-05,0.0327704333708471,0.463568863984392,0.176973639066274,1.49254761921206,0.0478314680283798,0.695540797254751,1.94475052831734,-1.96481551416218,0.387759804358775,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.486867312014741,1.06417190542036,0,"Mechanistic","HollingIII_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
"10",188,187,39844,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.17,"individual / (individual * second)",0.17,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.015,7.01e-08,"cubic meter",250,"Individuals per arena",0.2445,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","15","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1",NA,NA,NA,NA,NA,-6.86212906485978,-25.427915873051,-23.6797498834188,-20.973728169713,-22.755850833576,42,NA,NA,NA,NA,NA,0.124543859507867,1.44256042964826,0.887723631993552,1.62942422177872,0.945199533475337,0.162673651231335,6.91458256595348e-16,7.62582003307482e-09,4.56283967798974e-07,5.65032307338652e-06,0.00545372208278644,0.653042905319951,0.124543859507867,6.58870902127777,0.0599118347385921,5.7690066565956,0.58838114821956,1.13403783086687,0.359085090665088,"HollingII_AIC","HollingII_AIC","HollingII_AIC",-0.555496530098841,0.880843832561511,0,"Mechanistic","HollingIII_AIC","HollingII_AIC","Mechanistic","(0,15]","(0,15]"
