"","Predator_lifestage","Type_of_feeding_interaction","Slope_of_regression","Intercept_of_regression","R-squared","F-statistic","p-value"
"1","larva / juvenile","insectivorous","0.384249046154571","3.60032838802312","0.125577629410637","4.30836287934848","0.0465944025225446"
"2","adult","piscivorous","0.285409207488919","7.0051761355437","0.0762549666793182","1460.96633985589","3.21527852223257e-307"
"3","juvenile","piscivorous","0.223480124508171","8.72126450880204","0.0715818776775047","233.384440178497","8.16786748011529e-51"
"4","larva / juvenile","piscivorous","0.652630804441673","4.96732009411791","0.502262057547569","9.08180416316188","0.0146301686798566"
"5","postlarva","piscivorous","0.106773528674382","-2.52746573405741","0.0389698693052271","1.25705314524184","0.270820006991041"
"6","adult","planktivorous","0.802761886290888","8.9297727419648","0.224199133583999","45.0825287172977","3.31771921399377e-10"
"7","larva","planktivorous","0.43188559810351","1.21129528124193","0.184732831348562","231.803381438971","2.46433635713652e-47"
"8","larva / juvenile","planktivorous","0.537539976546299","5.08312949598501","0.2383099678989","36.918661170477","1.55071505486178e-08"
"9","postlarva/juvenile","planktivorous","0.675479706794872","6.81310614810303","0.231238785388307","78.8080363840131","1.10590667174295e-16"
"10","adult","predacious","0.321994355406028","7.72830989158596","0.146129065719437","1356.94671825977","2.36661210563443e-274"
"11","juvenile","predacious","1.06701767698145","8.21189551171144","0.764901236206758","6832.41617317412","0"
"12","larva","predacious","0.323614384510346","1.43204943227198","0.114146688218642","155.91463158479","9.61358023701228e-34"
"13","larva / juvenile","predacious","0.884974945335472","8.33544383272431","0.4903774538179","466.684739290751","5.25353664045459e-73"
"14","postlarva","predacious","0.15403834606651","-1.61375195212254","0.109207422360888","8.58170550266892","0.00458060708606845"
"15","postlarva/juvenile","predacious","0.232955400394708","1.94865346657023","0.144074981970456","98.9760640408157","1.17383192983109e-21"
"16","adult","predacious/piscivorous","0.531028610582126","4.78378800257579","0.34115409853576","82.3310906945515","4.19117303972473e-16"
