"","Location","Slope_of_regression","Intercept_of_regression","R-squared","F-statistic","p-value"
"1","Andaman Sea (West of South Thailand)","0.941421745921814","7.00529694337676","0.412420670135113","22.4607312979481","4.23336436449331e-05"
"2","Antarctic Peninsula","0.174661257468256","0.194816463746512","0.0902512371066919","220.928582961068","1.01723962586804e-47"
"3","Apalachicola Bay, Florida","0.849441577005881","4.97332066340635","0.524190346741072","188.387412232564","2.20473006506627e-29"
"4","Atlantic Ocean","0.193192569740486","6.57954355946281","0.137253446740317","2558.46855851001","0"
"5","Cape Cod Bay, Gulf of Maine, New England","-0.0201378599050814","12.4544083835256","0.0474818095493337","4.28698964721156","0.0414038463655945"
"6","Catalan Sea","0.257653872395839","-2.19426552537672","0.280072857461197","170.005867925651","4.70821273070676e-33"
"7","Crooked Island Sound, Florida","0.50644882649248","4.79484784084579","0.293713022751524","42.0013624114544","3.37813443070404e-09"
"8","Eastern Mediterranean","0.758854554993293","2.28061516285955","0.832431495683019","1813.21362963023","1.1890381709094e-143"
"9","Europe, Celtic Sea ecosystem","0.446320367632756","5.1972808252112","0.360856572626597","1179.43695879791","2.57239252512457e-205"
"10","French Polynesian EEZ","-0.00556091538134762","9.79775577962973","0.000315765731284322","1.26630467233974","0.26052843127323"
"11","Great Channel South, Gulf of Maine, New England","0.189102075269559","11.0106872284649","0.125560409634164","107.548592095016","1.22745109878182e-23"
"12","Great South Bay, Long Island, New York","0.381984962733834","3.04781706869486","0.268430572529679","108.242657392169","8.43412441946392e-22"
"13","Greenland","0.258813702633504","-2.05086434618492","0.0982205090743172","5.1191715634985","0.0283256454055265"
"14","Gulf of Alaska","0.0338830732461869","0.947776627843317","0.107557118856731","5.18235531770349","0.0278542406727562"
"15","Gulf of Maine, New England","0.0663098252650689","12.1319375959986","0.0191625310965622","1.64110024661965","0.2037000557109"
"16","Jeffreys Ledge, Gulf of Maine, New England","0.041809204073467","11.6794060200276","0.0403660041630349","17.8351182215043","2.9501245872327e-05"
"17","Mid Atlantic","0.161223151338171","4.1756122511229","0.213159550595364","30.070530987557","2.64521457418093e-07"
"18","NE North Sea and Skaggerak","1.09890063283713","10.4119448445479","0.715421579592819","47.7654278662958","1.36957984453215e-06"
"19","Off the Bay of Biscay","0.39849852062967","9.12174318005325","0.60048228071209","6628.3089087019","0"
"20","Oxwich Bay, Wales","0.0778070237368163","-0.594631029295351","0.0805459740919785","115.021372469739","8.77947893508722e-26"
"21","South of Marthas Vineyard, New England","0.19057728672922","10.5315570875658","0.259004419552128","15.0300357176354","0.000357067809765139"
"22","Stellwagen Bank, Gulf of Maine, New England","0.0630778596300332","11.9245935727751","0.0206425426109104","10.7706733579141","0.00110170497482193"
"23","Strait of Georgia","0.64381817519485","5.72995985977165","0.429210830976639","471.479147866133","2.19292470064835e-78"
"24","W Greenland","0.144528950276767","-0.816159975565778","0.279511457719642","62.4594869342853","4.04589011430388e-13"
"25","Western North Pacific","0.262425600046852","-1.69420658943519","0.249916753940325","148.267483759525","1.22350433682445e-29"
