,Species,Distance.m,Angle.degrees,Tree_Height_m
0,Populus tremula,31.665833774022797,41.2826361937914,27.8021161439
1,Quercus robur,45.984992608428,44.535916658351205,45.2460250644
2,Ginkgo biloba,31.2417666241527,25.1462585572153,14.6654828109
3,Fraxinus excelsior,34.6166691975668,23.336126555222997,14.9341751666
4,Betula pendula,45.4661654261872,38.349129951093296,35.9703591413
5,Betula pendula,48.795501743443296,33.5923089866992,32.4102133665
6,Populus tremula,30.6472346419469,29.6680675458629,17.4582436344
7,Fagus sylvatica,35.0619523832574,40.6805929599795,30.1373803987
8,Quercus robur,39.9362466670573,26.958917673909998,20.3124778877
9,Quercus robur,48.5709257051349,26.702855124604,24.4316633467
10,Carpinus betulus,41.3144933478907,33.6508165684063,27.5021323377
11,Populus tremula,47.1975362300873,28.057250705314804,25.1559006983
12,Populus tremula,35.4810611810535,39.6383204893209,29.3924796427
13,Ginkgo biloba,34.8862405261025,38.9365267753601,28.1863871767
14,Betula pendula,34.1105821775272,42.0246486656833,30.739887756
15,Alnus glutinosa,49.654958024621,38.669371568830705,39.7375605141
16,Ginkgo biloba,40.503049078397495,31.3665648386814,24.6907361358
17,Carpinus betulus,35.944316587410896,26.293636362534,17.7598206601
18,Metasequoia glyptostroboides,41.7043626774102,26.526751769706603,20.8173463351
19,Ginkgo biloba,37.355419564992204,43.1725008168723,35.0453500298
20,Betula pendula,43.4749639127403,36.2327829515561,31.8570793178
21,Fagus sylvatica,39.8774524684995,38.6918964318465,31.9386047489
22,Populus tremula,31.245021279901298,23.340078931069,13.482149833
23,Quercus robur,35.9201506245881,42.855105518829106,33.3266523195
24,Ginkgo biloba,49.6307160519063,31.3478059414774,30.2326960123
25,Carpinus betulus,38.206780957989395,43.2579337025527,35.9513240858
26,Pinus sylvestris,30.462764617987,35.7672338711563,21.9439670048
27,Pinus sylvestris,44.343717456795304,42.690140746999504,40.9050790219
28,Carpinus betulus,42.391633852385,26.078630394768,20.7478453627
29,Pinus sylvestris,49.7625944949687,35.114401426399105,34.9924266516
30,Populus tremula,46.34715515188871,29.223805356305103,25.927826471
31,Fraxinus excelsior,48.810141640715294,30.1879840833135,28.3944786936
32,Betula pendula,39.1205159528181,40.7153382652905,33.6671770907
33,Pinus sylvestris,32.091398476623,33.036786078009804,20.8697032615
34,Fraxinus excelsior,30.7957392046228,36.587628854904295,22.8606192049
35,Fraxinus excelsior,39.4369949353859,36.0758849116974,28.7325342973
36,Carpinus betulus,39.9332950264215,23.9536876312923,17.7407856705
37,Quercus robur,47.7163779549301,31.023817240493397,28.6978954943
38,Quercus robur,49.7508854558691,35.125136054121,34.9981249022
39,Metasequoia glyptostroboides,40.6481830682606,30.138981079217,23.599889907
40,Alnus glutinosa,39.0966060291976,20.849358254345102,14.8899603554
41,Betula pendula,38.8727945787832,22.9332405712921,16.4470943204
42,Carpinus betulus,47.0151513628662,30.629521345254002,27.8373897821
43,Alnus glutinosa,34.5093661732972,25.6323324737605,16.5580686489
44,Populus tremula,32.0270016696304,30.797824623296,19.0902766601
45,Carpinus betulus,36.4183936547488,40.802592276595504,31.4383896233
46,Alnus glutinosa,35.0219672126696,22.693766116863102,14.6455292226
47,Ginkgo biloba,40.251586660742795,24.247648559976398,18.1300305585
48,Alnus glutinosa,49.314148882404005,24.237724567065,22.2016961784
49,Pinus sylvestris,41.1222059605643,21.054914999986103,15.8305736839
50,Alnus glutinosa,32.3566586244851,39.6630597871263,26.827794344
51,Populus tremula,39.0768380276859,28.885286969598397,21.558482903
52,Betula pendula,34.7624337533489,30.133760806638698,20.1784536777
53,Populus tremula,41.9296419201419,40.5908210249618,35.9263992437
54,Ginkgo biloba,36.963485493324704,42.9492065787781,34.4077948031
